"n","uuid","title","error","contact","error_level"
8,"c4702d92-80b3-11ee-b962-0242ac120008","data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK","missing thumbnail","UOXF","warning"
9,"c4702d92-80b3-11ee-b962-0242ac120009","Novel-SARS-CoV-2-P1-Lineage-in-Brazi","missing abstract","SOTON","error"
9,"c4702d92-80b3-11ee-b962-0242ac120009","Novel-SARS-CoV-2-P1-Lineage-in-Brazi","missing thumbnail","SOTON","warning"
10,"c4702d92-80b3-11ee-b962-0242ac120010","Title ?","missing abstract","SOTON","error"
10,"c4702d92-80b3-11ee-b962-0242ac120010","Title ?","missing thumbnail","SOTON","warning"
11,"c4702d92-80b3-11ee-b962-0242ac120011","EPIcx-lab/COVID-19/Impact_school_reopening/","missing abstract","INSERM","error"
11,"c4702d92-80b3-11ee-b962-0242ac120011","EPIcx-lab/COVID-19/Impact_school_reopening/","missing thumbnail","INSERM","warning"
12,"c4702d92-80b3-11ee-b962-0242ac120012","EPIcx-lab/COVID-19/Underdetection_France/","missing abstract","INSERM","error"
12,"c4702d92-80b3-11ee-b962-0242ac120012","EPIcx-lab/COVID-19/Underdetection_France/","missing thumbnail","INSERM","warning"
13,"c4702d92-80b3-11ee-b962-0242ac120013","EPIcx-lab/COVID-19/Adherence_and_sustainability/","missing abstract","INSERM","error"
13,"c4702d92-80b3-11ee-b962-0242ac120013","EPIcx-lab/COVID-19/Adherence_and_sustainability/","missing thumbnail","INSERM","warning"
14,"c4702d92-80b3-11ee-b962-0242ac120014","Labeled Entities from Social Media Data Related to Avian Influenza Disease","missing abstract","CIRAD","error"
14,"c4702d92-80b3-11ee-b962-0242ac120014","Labeled Entities from Social Media Data Related to Avian Influenza Disease","missing thumbnail","CIRAD","warning"
15,"c4702d92-80b3-11ee-b962-0242ac120015","Supplementary Video 1 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing abstract","INSERM","error"
15,"c4702d92-80b3-11ee-b962-0242ac120015","Supplementary Video 1 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
16,"c4702d92-80b3-11ee-b962-0242ac120016","Supplementary Video 2 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing abstract","INSERM","error"
16,"c4702d92-80b3-11ee-b962-0242ac120016","Supplementary Video 2 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
17,"c4702d92-80b3-11ee-b962-0242ac120017","MOOD Maps of Google community mobility change during the COVID-19 outbreak","missing abstract","ERGO","error"
17,"c4702d92-80b3-11ee-b962-0242ac120017","MOOD Maps of Google community mobility change during the COVID-19 outbreak","already harvested","ERGO","error"
18,"c4702d92-80b3-11ee-b962-0242ac120018","European West Nile virus outbreak event data identified by PADI-web, media monitoring tool","missing abstract","CIRAD","error"
19,"c4702d92-80b3-11ee-b962-0242ac120019","Dissemination of information in event-based surveillance, a case study of Avian Influenza - dataset","missing abstract","CIRAD","error"
20,"c4702d92-80b3-11ee-b962-0242ac120020","SM2RAIN-ASCAT (2007-2021) global daily satellite rainfall including aggregated values and trend parameters as 10km resolution GeoTIFFs","missing abstract","OPENGEOHUB","error"
21,"c4702d92-80b3-11ee-b962-0242ac120021","Long-term MODIS LST day-time and night-time temperatures, sd and differences at 1 km based on the 2000–2020 time series
                                        ","missing abstract","OPENGEOHUB","error"
22,"c4702d92-80b3-11ee-b962-0242ac120022","Monthly precipitation in mm at 1 km resolution (multisource average) based on SM2RAIN-ASCAT 2007-2021, CHELSA Climate and WorldClim","missing abstract","OPENGEOHUB","error"
23,"c4702d92-80b3-11ee-b962-0242ac120023","Annual terrestrial Human Footprint dataset from 1982 to 2000","missing abstract","OPENGEOHUB","error"
24,"c4702d92-80b3-11ee-b962-0242ac120024","MOOD Maps of Google community mobility change during the COVID-19 outbreak","already harvested","ERGO","error"
25,"c4702d92-80b3-11ee-b962-0242ac120025","MOOD - News AMR dataset - Hackathon 2022","missing abstract","INRAE & CIRAD","error"
25,"c4702d92-80b3-11ee-b962-0242ac120025","MOOD - News AMR dataset - Hackathon 2022","missing thumbnail","INRAE & CIRAD","warning"
26,"c4702d92-80b3-11ee-b962-0242ac120026","Avian Influenza events from differents digital surveillance tools","missing abstract","INRAE & CIRAD","error"
26,"c4702d92-80b3-11ee-b962-0242ac120026","Avian Influenza events from differents digital surveillance tools","missing thumbnail","INRAE & CIRAD","warning"
27,"c4702d92-80b3-11ee-b962-0242ac120027","PADI-web corpus used for the EpidBioELECTRA approach","missing abstract","CIRAD","error"
27,"c4702d92-80b3-11ee-b962-0242ac120027","PADI-web corpus used for the EpidBioELECTRA approach","missing thumbnail","CIRAD","warning"
28,"c4702d92-80b3-11ee-b962-0242ac120028","Annotation of epidemiological information in animal disease-related news articles: guidelines and manually labelled corpus","missing abstract","CIRAD","error"
28,"c4702d92-80b3-11ee-b962-0242ac120028","Annotation of epidemiological information in animal disease-related news articles: guidelines and manually labelled corpus","missing thumbnail","CIRAD","warning"
29,"c4702d92-80b3-11ee-b962-0242ac120029","Keywords for PADI-web implemented in Ocean Indian","missing abstract","CIRAD","error"
29,"c4702d92-80b3-11ee-b962-0242ac120029","Keywords for PADI-web implemented in Ocean Indian","missing thumbnail","CIRAD","warning"
30,"c4702d92-80b3-11ee-b962-0242ac120030","An annotated Avian Influenza dataset from two event-based surveillance systems","missing abstract","INRAE & CIRAD","error"
30,"c4702d92-80b3-11ee-b962-0242ac120030","An annotated Avian Influenza dataset from two event-based surveillance systems","missing thumbnail","INRAE & CIRAD","warning"
31,"c4702d92-80b3-11ee-b962-0242ac120031","Annotated datasets from PADI-web for event-based surveillance of Avian Influenza, African Swine Fever, and West-Nile Virus Disease","missing abstract","INRAE & CIRAD","error"
31,"c4702d92-80b3-11ee-b962-0242ac120031","Annotated datasets from PADI-web for event-based surveillance of Avian Influenza, African Swine Fever, and West-Nile Virus Disease","missing thumbnail","INRAE & CIRAD","warning"
32,"c4702d92-80b3-11ee-b962-0242ac120032","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
32,"c4702d92-80b3-11ee-b962-0242ac120032","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
33,"c4702d92-80b3-11ee-b962-0242ac120033","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
33,"c4702d92-80b3-11ee-b962-0242ac120033","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
34,"c4702d92-80b3-11ee-b962-0242ac120034","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
34,"c4702d92-80b3-11ee-b962-0242ac120034","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
35,"c4702d92-80b3-11ee-b962-0242ac120035","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
35,"c4702d92-80b3-11ee-b962-0242ac120035","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
36,"c4702d92-80b3-11ee-b962-0242ac120036","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
36,"c4702d92-80b3-11ee-b962-0242ac120036","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
37,"c4702d92-80b3-11ee-b962-0242ac120037","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
37,"c4702d92-80b3-11ee-b962-0242ac120037","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
38,"c4702d92-80b3-11ee-b962-0242ac120038","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
38,"c4702d92-80b3-11ee-b962-0242ac120038","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
39,"c4702d92-80b3-11ee-b962-0242ac120039","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
39,"c4702d92-80b3-11ee-b962-0242ac120039","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
40,"c4702d92-80b3-11ee-b962-0242ac120040","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
40,"c4702d92-80b3-11ee-b962-0242ac120040","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
41,"c4702d92-80b3-11ee-b962-0242ac120041","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
41,"c4702d92-80b3-11ee-b962-0242ac120041","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
42,"c4702d92-80b3-11ee-b962-0242ac120042","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
42,"c4702d92-80b3-11ee-b962-0242ac120042","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
43,"c4702d92-80b3-11ee-b962-0242ac120043","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
43,"c4702d92-80b3-11ee-b962-0242ac120043","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
44,"c4702d92-80b3-11ee-b962-0242ac120044","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
44,"c4702d92-80b3-11ee-b962-0242ac120044","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
45,"c4702d92-80b3-11ee-b962-0242ac120045","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
45,"c4702d92-80b3-11ee-b962-0242ac120045","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
46,"c4702d92-80b3-11ee-b962-0242ac120046","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
46,"c4702d92-80b3-11ee-b962-0242ac120046","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
47,"c4702d92-80b3-11ee-b962-0242ac120047","MODIS v6.0 NDVI/EVI","already harvested","mundialis","error"
47,"c4702d92-80b3-11ee-b962-0242ac120047","MODIS v6.0 NDVI/EVI","missing thumbnail","mundialis","warning"
48,"c4702d92-80b3-11ee-b962-0242ac120048","MODIS v6.0 MNDWI","already harvested","mundialis","error"
48,"c4702d92-80b3-11ee-b962-0242ac120048","MODIS v6.0 MNDWI","missing thumbnail","mundialis","warning"
49,"c4702d92-80b3-11ee-b962-0242ac120049","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
49,"c4702d92-80b3-11ee-b962-0242ac120049","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
50,"c4702d92-80b3-11ee-b962-0242ac120050","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
50,"c4702d92-80b3-11ee-b962-0242ac120050","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
51,"c4702d92-80b3-11ee-b962-0242ac120051","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
51,"c4702d92-80b3-11ee-b962-0242ac120051","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
55,"c4702d92-80b3-11ee-b962-0242ac120055","Global Daylength Map","already harvested","mundialis","error"
55,"c4702d92-80b3-11ee-b962-0242ac120055","Global Daylength Map","missing thumbnail","mundialis","warning"
56,"c4702d92-80b3-11ee-b962-0242ac120056","MODIS Land surface temperature","missing abstract","ERGO","error"
56,"c4702d92-80b3-11ee-b962-0242ac120056","MODIS Land surface temperature","already harvested","ERGO","error"
56,"c4702d92-80b3-11ee-b962-0242ac120056","MODIS Land surface temperature","missing thumbnail","ERGO","warning"
57,"c4702d92-80b3-11ee-b962-0242ac120057","MODIS Enhanced vegetation Index","already harvested","ERGO","error"
57,"c4702d92-80b3-11ee-b962-0242ac120057","MODIS Enhanced vegetation Index","missing thumbnail","ERGO","warning"
58,"c4702d92-80b3-11ee-b962-0242ac120058","MODIS Land surface day temperature, Fourier Processed","missing abstract","ERGO","error"
58,"c4702d92-80b3-11ee-b962-0242ac120058","MODIS Land surface day temperature, Fourier Processed","already harvested","ERGO","error"
58,"c4702d92-80b3-11ee-b962-0242ac120058","MODIS Land surface day temperature, Fourier Processed","missing thumbnail","ERGO","warning"
59,"c4702d92-80b3-11ee-b962-0242ac120059","MODIS Land surface night temperature, Fourier Processed","already harvested","ERGO","error"
59,"c4702d92-80b3-11ee-b962-0242ac120059","MODIS Land surface night temperature, Fourier Processed","missing thumbnail","ERGO","warning"
60,"c4702d92-80b3-11ee-b962-0242ac120060","MODIS NDVI, Fourier Processed","already harvested","ERGO","error"
60,"c4702d92-80b3-11ee-b962-0242ac120060","MODIS NDVI, Fourier Processed","missing thumbnail","ERGO","warning"
61,"c4702d92-80b3-11ee-b962-0242ac120061","MODIS EVI, Fourier Processed","already harvested","ERGO","error"
61,"c4702d92-80b3-11ee-b962-0242ac120061","MODIS EVI, Fourier Processed","missing thumbnail","ERGO","warning"
62,"c4702d92-80b3-11ee-b962-0242ac120062","MODIS Channel 3 Fourier Processed","already harvested","ERGO","error"
62,"c4702d92-80b3-11ee-b962-0242ac120062","MODIS Channel 3 Fourier Processed","missing thumbnail","ERGO","warning"
63,"c4702d92-80b3-11ee-b962-0242ac120063","ERA5  Monthly Precipitation  Fourier Processed  ","already harvested","ERGO","error"
63,"c4702d92-80b3-11ee-b962-0242ac120063","ERA5  Monthly Precipitation  Fourier Processed  ","missing thumbnail","ERGO","warning"
64,"c4702d92-80b3-11ee-b962-0242ac120064","ERA5  Monthly Precipitation ","already harvested","ERGO","error"
64,"c4702d92-80b3-11ee-b962-0242ac120064","ERA5  Monthly Precipitation ","missing thumbnail","ERGO","warning"
65,"c4702d92-80b3-11ee-b962-0242ac120065","GMTED elevation","already harvested","ERGO","error"
65,"c4702d92-80b3-11ee-b962-0242ac120065","GMTED elevation","missing thumbnail","ERGO","warning"
66,"c4702d92-80b3-11ee-b962-0242ac120066","Spatial Model Vector Ixodes ricinus","missing abstract","ERGO","error"
66,"c4702d92-80b3-11ee-b962-0242ac120066","Spatial Model Vector Ixodes ricinus","already harvested","ERGO","error"
66,"c4702d92-80b3-11ee-b962-0242ac120066","Spatial Model Vector Ixodes ricinus","missing thumbnail","ERGO","warning"
67,"c4702d92-80b3-11ee-b962-0242ac120067","Spatial Model TBE Hosts","already harvested","ERGO","error"
67,"c4702d92-80b3-11ee-b962-0242ac120067","Spatial Model TBE Hosts","missing thumbnail","ERGO","warning"
68,"c4702d92-80b3-11ee-b962-0242ac120068","Weighted Mammal Host distribution models","missing abstract","ERGO","error"
68,"c4702d92-80b3-11ee-b962-0242ac120068","Weighted Mammal Host distribution models","already harvested","ERGO","error"
68,"c4702d92-80b3-11ee-b962-0242ac120068","Weighted Mammal Host distribution models","missing thumbnail","ERGO","warning"
69,"c4702d92-80b3-11ee-b962-0242ac120069","Updated MODIS Land surface day temperature, Fourier Processed","already harvested","ERGO","error"
69,"c4702d92-80b3-11ee-b962-0242ac120069","Updated MODIS Land surface day temperature, Fourier Processed","missing thumbnail","ERGO","warning"
70,"c4702d92-80b3-11ee-b962-0242ac120070","Updated MODIS Land surface night temperature, Fourier Processed","already harvested","ERGO","error"
70,"c4702d92-80b3-11ee-b962-0242ac120070","Updated MODIS Land surface night temperature, Fourier Processed","missing thumbnail","ERGO","warning"
71,"c4702d92-80b3-11ee-b962-0242ac120071","Updated MODIS NDVI, Fourier Processed","already harvested","ERGO","error"
71,"c4702d92-80b3-11ee-b962-0242ac120071","Updated MODIS NDVI, Fourier Processed","missing thumbnail","ERGO","warning"
72,"c4702d92-80b3-11ee-b962-0242ac120072","Updated MODIS EVI, Fourier Processed","already harvested","ERGO","error"
72,"c4702d92-80b3-11ee-b962-0242ac120072","Updated MODIS EVI, Fourier Processed","missing thumbnail","ERGO","warning"
73,"c4702d92-80b3-11ee-b962-0242ac120073","Updated MODIS Channel 3 Fourier Processed","already harvested","ERGO","error"
73,"c4702d92-80b3-11ee-b962-0242ac120073","Updated MODIS Channel 3 Fourier Processed","missing thumbnail","ERGO","warning"
74,"c4702d92-80b3-11ee-b962-0242ac120074","MODIS Relative Humidity Fourier Processed","missing abstract","ERGO","error"
74,"c4702d92-80b3-11ee-b962-0242ac120074","MODIS Relative Humidity Fourier Processed","already harvested","ERGO","error"
74,"c4702d92-80b3-11ee-b962-0242ac120074","MODIS Relative Humidity Fourier Processed","missing thumbnail","ERGO","warning"
75,"c4702d92-80b3-11ee-b962-0242ac120075","Consensus Land Use","missing abstract","ERGO","error"
75,"c4702d92-80b3-11ee-b962-0242ac120075","Consensus Land Use","already harvested","ERGO","error"
75,"c4702d92-80b3-11ee-b962-0242ac120075","Consensus Land Use","missing thumbnail","ERGO","warning"
76,"c4702d92-80b3-11ee-b962-0242ac120076","Spatial Model Hyalomma marginatum","missing abstract","ERGO","error"
76,"c4702d92-80b3-11ee-b962-0242ac120076","Spatial Model Hyalomma marginatum","already harvested","ERGO","error"
76,"c4702d92-80b3-11ee-b962-0242ac120076","Spatial Model Hyalomma marginatum","missing thumbnail","ERGO","warning"
77,"c4702d92-80b3-11ee-b962-0242ac120077","Spatial Model Hyalomma lusitanicum","missing abstract","ERGO","error"
77,"c4702d92-80b3-11ee-b962-0242ac120077","Spatial Model Hyalomma lusitanicum","already harvested","ERGO","error"
77,"c4702d92-80b3-11ee-b962-0242ac120077","Spatial Model Hyalomma lusitanicum","missing thumbnail","ERGO","warning"
78,"c4702d92-80b3-11ee-b962-0242ac120078","ERA5  10 km Monthly precipitation, 2021","already harvested","ERGO","error"
78,"c4702d92-80b3-11ee-b962-0242ac120078","ERA5  10 km Monthly precipitation, 2021","missing thumbnail","ERGO","warning"
79,"c4702d92-80b3-11ee-b962-0242ac120079","Flood risk","missing abstract","ERGO","error"
79,"c4702d92-80b3-11ee-b962-0242ac120079","Flood risk","already harvested","ERGO","error"
79,"c4702d92-80b3-11ee-b962-0242ac120079","Flood risk","missing thumbnail","ERGO","warning"
80,"c4702d92-80b3-11ee-b962-0242ac120080","Herbaceous wetlands","missing abstract","ERGO","error"
80,"c4702d92-80b3-11ee-b962-0242ac120080","Herbaceous wetlands","already harvested","ERGO","error"
80,"c4702d92-80b3-11ee-b962-0242ac120080","Herbaceous wetlands","missing thumbnail","ERGO","warning"
81,"c4702d92-80b3-11ee-b962-0242ac120081","Road density","already harvested","ERGO","error"
81,"c4702d92-80b3-11ee-b962-0242ac120081","Road density","missing thumbnail","ERGO","warning"
82,"c4702d92-80b3-11ee-b962-0242ac120082","Surface Water","missing abstract","ERGO","error"
82,"c4702d92-80b3-11ee-b962-0242ac120082","Surface Water","already harvested","ERGO","error"
82,"c4702d92-80b3-11ee-b962-0242ac120082","Surface Water","missing thumbnail","ERGO","warning"
83,"c4702d92-80b3-11ee-b962-0242ac120083","Vet and Hospital distributions","missing abstract","ERGO","error"
83,"c4702d92-80b3-11ee-b962-0242ac120083","Vet and Hospital distributions","already harvested","ERGO","error"
83,"c4702d92-80b3-11ee-b962-0242ac120083","Vet and Hospital distributions","missing thumbnail","ERGO","warning"
84,"c4702d92-80b3-11ee-b962-0242ac120084","Groiss Domestic Product","missing abstract","ERGO","error"
84,"c4702d92-80b3-11ee-b962-0242ac120084","Groiss Domestic Product","already harvested","ERGO","error"
84,"c4702d92-80b3-11ee-b962-0242ac120084","Groiss Domestic Product","missing thumbnail","ERGO","warning"
85,"c4702d92-80b3-11ee-b962-0242ac120085","Farm Labour","missing abstract","ERGO","error"
85,"c4702d92-80b3-11ee-b962-0242ac120085","Farm Labour","already harvested","ERGO","error"
85,"c4702d92-80b3-11ee-b962-0242ac120085","Farm Labour","missing thumbnail","ERGO","warning"
86,"c4702d92-80b3-11ee-b962-0242ac120086","Multipe wildfowl species distribution indices","missing abstract","ERGO","error"
86,"c4702d92-80b3-11ee-b962-0242ac120086","Multipe wildfowl species distribution indices","already harvested","ERGO","error"
86,"c4702d92-80b3-11ee-b962-0242ac120086","Multipe wildfowl species distribution indices","missing thumbnail","ERGO","warning"
87,"c4702d92-80b3-11ee-b962-0242ac120087","Updated google mobility","missing abstract","ERGO","error"
87,"c4702d92-80b3-11ee-b962-0242ac120087","Updated google mobility","already harvested","ERGO","error"
87,"c4702d92-80b3-11ee-b962-0242ac120087","Updated google mobility","missing thumbnail","ERGO","warning"
88,"c4702d92-80b3-11ee-b962-0242ac120088","MOOD standard Mapping and Analysis polygons","missing abstract","ERGO","error"
88,"c4702d92-80b3-11ee-b962-0242ac120088","MOOD standard Mapping and Analysis polygons","already harvested","ERGO","error"
88,"c4702d92-80b3-11ee-b962-0242ac120088","MOOD standard Mapping and Analysis polygons","missing thumbnail","ERGO","warning"
89,"c4702d92-80b3-11ee-b962-0242ac120089","Worldpop Human 2020 population by Age and Gender","missing abstract","ERGO","error"
89,"c4702d92-80b3-11ee-b962-0242ac120089","Worldpop Human 2020 population by Age and Gender","already harvested","ERGO","error"
89,"c4702d92-80b3-11ee-b962-0242ac120089","Worldpop Human 2020 population by Age and Gender","missing thumbnail","ERGO","warning"
