"n","uuid","title","error","contact","error_level"
1,"c4702d92-80b3-11ee-b962-0242ac120001","Data for changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China","missing abstract","FEM/FBK","error"
1,"c4702d92-80b3-11ee-b962-0242ac120001","Data for changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China","missing thumbnail","FEM/FBK","warning"
2,"c4702d92-80b3-11ee-b962-0242ac120002","COVID-19-line-list","missing abstract","FEM/FBK","error"
2,"c4702d92-80b3-11ee-b962-0242ac120002","COVID-19-line-list","missing thumbnail","FEM/FBK","warning"
3,"c4702d92-80b3-11ee-b962-0242ac120003","PADI-web COVID-19 corpus: news articles manually labelled","missing abstract","CIRAD","error"
3,"c4702d92-80b3-11ee-b962-0242ac120003","PADI-web COVID-19 corpus: news articles manually labelled","missing thumbnail","CIRAD","warning"
4,"c4702d92-80b3-11ee-b962-0242ac120004","COVID-19 and media dataset: Mining textual data according periods and countries (UK, Spain, France)","missing abstract","CIRAD","error"
4,"c4702d92-80b3-11ee-b962-0242ac120004","COVID-19 and media dataset: Mining textual data according periods and countries (UK, Spain, France)","missing thumbnail","CIRAD","warning"
5,"c4702d92-80b3-11ee-b962-0242ac120005","Code and Data for: Crowding and the shape of COVID-19 epidemics","missing abstract","UOXF","error"
5,"c4702d92-80b3-11ee-b962-0242ac120005","Code and Data for: Crowding and the shape of COVID-19 epidemics","missing thumbnail","UOXF","warning"
6,"c4702d92-80b3-11ee-b962-0242ac120006","files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing","missing abstract","ULB","error"
6,"c4702d92-80b3-11ee-b962-0242ac120006","files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing","missing thumbnail","ULB","warning"
7,"c4702d92-80b3-11ee-b962-0242ac120007","COVID-19 international cases as of Feb 13","missing abstract","INSERM","error"
7,"c4702d92-80b3-11ee-b962-0242ac120007","COVID-19 international cases as of Feb 13","missing thumbnail","INSERM","warning"
8,"c4702d92-80b3-11ee-b962-0242ac120008","data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK","missing abstract","UOXF","error"
